handle,channel_id,name,niche,tier,subscribers_at_addition,added_date,active,deactivated_date,deactivated_reason
SiimLand,UCAohrrjG-3gEp5QF1WlM9_w,Siim Land,legacy,micro,254000,2026-04-16,true,,
Physionic,UCj3p_1jOCJXB_L_we-DjLbA,Physionic,legacy,micro,344000,2026-04-16,true,,
DrBradStanfield,UCpcvPcHJVOkO9Qp79BOagTg,Brad Stanfield,legacy,micro,322000,2026-04-16,true,,
jamesbruton,UCUbDcUPed50Y_7KmfCXKohA,James Bruton,legacy,top,1400000,2026-04-16,true,,
BreakingTaps,UC06HVrkOL33D5lLnCPjr6NQ,Breaking Taps,legacy,top,574000,2026-04-16,true,,
BenFelixCSI,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,legacy,top,533000,2026-04-16,true,,
TheSwedishInvestor,UCAeAB8ABXGoGMbXuYPmiu2A,The Swedish Investor,legacy,top,1010000,2026-04-16,false,2026-05-03,auto_replaced_by_curator
ShashankKalanithi,,Shashank Kalanithi,legacy,,,2026-04-16,false,2026-05-03,handle_no_longer_resolves
DataVidhya,UCkgkoIdDpdimm9JpfO2aKSw,DataVidhya,legacy,micro,,2026-04-16,true,,
CodeWithYu,UCAEOtPgh29aXEt31O17Wfjg,Code With Yu,legacy,new,35400,2026-04-16,false,2026-05-03,auto_replaced_by_curator
Electronoobs,UCjiVhIvGmRZixSzupD0sS9Q,Electronoobs,legacy,top,639000,2026-04-16,true,,
nikodembartnik,UChrCgXmIW1toX2B7viP6S7Q,Nikodem Bartnik,legacy,micro,228000,2026-04-16,true,,
LexFridman,UCSHZKyawb77ixDdsGog4iWA,Lex Fridman,AI_Automation,top,4980000,2026-05-03,true,,
mreflow,UChpleBmo18P08aKCIgti38g,Matt Wolfe,AI_Automation,top,937000,2026-05-03,true,,
TwoMinutePapers,UCbfYPyITQ-7l4upoX8nvctg,Two Minute Papers,AI_Automation,top,1800000,2026-05-03,true,,
3blue1brown,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,AI_Automation,top,8300000,2026-05-03,true,,
1littlecoder,UCpV_X0VrL8-jg3t6wYGS-1g,1littlecoder,AI_Automation,micro,110000,2026-05-03,true,,
PeterAttiaMD,UC8kGsMa0LygSX9nkBcBH1Sg,Peter Attia MD,Health_Longevity,top,1030000,2026-05-03,true,,
